EmpID,Equity,TrainingCost,EquipmentCost,TotalLeaves,TotalIncome,TotalExpense,TotalSavings
1,Options,2122.15,4148.83,22,164282.7,37411.24,126871.46000000002
2,Options,2883.94,1918.88,14,197325.58,41827.85,155497.72999999998
3,Stocks,2811.54,2019.52,23,198184.83,28098.76,170086.06999999998
4,Stocks,2159.51,748.3,0,55871.75,89122.24,-33250.490000000005
5,Stocks,1863.15,4799.82,17,69245.14,75664.82,-6419.680000000008
6,Stocks,1705.77,1468.62,23,189322.39,52167.45,137154.94
7,Options,3691.91,1833.55,19,118517.72,29916.79,88600.93
8,Stocks,3850.25,3336.17,23,172703.86,28158.95,144544.90999999997
9,Stocks,3181.73,1159.07,11,110919.37,51955.72,58963.649999999994
10,Options,2357.79,1817.56,13,121071.64,69385.83,51685.81
11,Stocks,4424.11,2188.73,29,54371.25,64796.76,-10425.510000000002
12,Options,2163.99,1707.31,18,128048.29,60777.73,67270.56
13,Stocks,1842.69,793.72,24,113324.12,76267.4,37056.72
14,Stocks,4685.54,4346.72,7,111379.91,43549.14,67830.77
15,Options,1193.89,4949.59,26,51111.56,82555.82,-31444.26000000001
16,Options,2149.55,4465.31,20,107257.79,95302.9,11954.89
17,Options,2879.59,4846.6,30,65615.57,57927.49,7688.080000000009
18,Options,2959.71,4378.6,7,128549.29,43425.9,85123.38999999998
19,Options,4121.55,3828.49,3,83621.81,50722.1,32899.71
20,Stocks,4138.98,528.21,5,53321.58,39446.85,13874.730000000003
21,Stocks,1983.99,1652.03,28,171648.77,27296.72,144352.05
22,Stocks,1003.27,2331.08,4,146982.07,60648.34,86333.73000000001
23,Options,3435.6,4348.79,28,186914.38,24248.41,162665.97
24,Stocks,1324.87,1312.96,15,57608.22,66791.4,-9183.179999999993
25,Options,1711.66,974.4,13,135642.81,21512.2,114130.61
26,Options,3702.13,4651.62,17,141524.57,71690.06,69834.51000000001
27,Options,2299.94,3115.58,25,173180.73,33512.03,139668.7
28,Stocks,3972.27,2834.52,14,173332.58,34716.1,138616.47999999998
29,Stocks,2426.03,990.71,23,88856.9,21674.48,67182.42
30,Stocks,1329.23,3743.4,12,83563.01,58924.05,24638.959999999992
31,Options,2496.19,3172.45,12,97539.64,43411.14,54128.5
32,Options,3250.7,4009.58,1,193356.1,48724.97,144631.13
33,Stocks,3613.22,3944.01,13,134157.12,25325.12,108832.0
34,Options,3440.49,3517.61,21,181897.93,92530.68,89367.25
35,Stocks,2944.52,1312.82,2,183929.02,27888.5,156040.52
36,Stocks,2753.26,1059.91,8,106365.34,85847.61,20517.729999999996
37,Stocks,4167.33,2451.2,28,75507.72,83016.53,-7508.809999999998
38,Options,3399.43,1537.24,4,171294.65,62856.91,108437.73999999999
39,Stocks,3849.89,1400.36,28,60251.79,30785.39,29466.4
40,Options,2847.87,4215.21,3,189216.2,78540.1,110676.1
41,Stocks,1601.9,874.2,18,165356.56,98631.2,66725.36
42,Stocks,4916.2,1324.06,9,91737.79,29078.28,62659.509999999995
43,Options,4534.55,518.7,4,102931.65,92440.1,10491.549999999988
44,Options,1428.4,1663.76,8,176731.1,93010.49,83720.61
45,Options,2601.35,1076.03,17,165940.96,81041.49,84899.46999999999
46,Stocks,3930.09,1837.43,9,159069.65,64128.51,94941.13999999998
47,Stocks,4787.36,2554.51,22,118944.83,34835.05,84109.78
48,Stocks,3976.6,4597.46,15,154381.04,29752.75,124628.29000000001
49,Options,3793.46,1029.54,19,136259.65,91476.37,44783.28
50,Stocks,2284.46,2048.12,24,50162.8,58545.29,-8382.489999999998
51,Stocks,2902.04,4528.62,11,177571.42,66391.2,111180.22000000002
52,Stocks,2688.81,3194.96,17,156655.87,23213.05,133442.82
53,Options,3848.6,2291.77,16,156540.94,63446.41,93094.53
54,Stocks,1799.16,4143.95,27,69603.78,50035.54,19568.239999999998
55,Options,1600.0,591.95,13,73765.88,88772.13,-15006.25
56,Stocks,1635.79,2721.62,17,126039.39,79670.29,46369.100000000006
57,Options,3788.94,1180.99,21,155746.11,40915.17,114830.93999999999
58,Options,1470.87,1273.79,10,68610.29,95796.35,-27186.060000000012
59,Options,1010.31,2319.1,27,199515.58,90990.77,108524.80999999998
60,Options,1104.19,4079.54,17,97258.26,96998.19,260.06999999999243
61,Options,4406.63,2232.39,16,64040.27,57908.8,6131.469999999994
62,Options,3630.72,2222.96,15,78375.38,61308.14,17067.240000000005
63,Options,1788.65,2725.52,27,138448.04,60667.23,77780.81
64,Stocks,2661.7,2681.75,0,137861.23,74360.25,63500.98000000001
65,Options,3105.86,1793.98,8,106939.18,35933.68,71005.5
66,Options,4399.74,1763.59,10,191977.92,44267.59,147710.33000000002
67,Options,1176.83,2809.17,15,116138.86,21229.04,94909.82
68,Stocks,3000.64,2331.77,23,152808.95,92224.4,60584.55000000002
69,Options,1256.89,1701.22,30,95878.18,43770.4,52107.77999999999
70,Stocks,2551.78,3561.68,23,139969.79,79297.09,60672.70000000001
71,Stocks,3108.15,4439.8,27,73788.9,54894.25,18894.649999999994
72,Options,1068.74,2519.63,22,142539.32,33620.08,108919.24
73,Stocks,1974.86,998.85,1,69371.81,90973.98,-21602.17
74,Stocks,4807.48,1018.05,24,52646.66,48994.61,3652.050000000003
75,Options,3366.24,3967.13,9,178658.31,73711.43,104946.88
76,Stocks,4325.96,3638.16,0,76583.63,80892.17,-4308.539999999994
77,Stocks,3746.15,1980.07,30,84705.81,62893.9,21811.909999999996
78,Stocks,4413.23,3097.54,30,90270.86,64492.82,25778.04
79,Options,2174.07,2610.89,25,90148.3,95294.84,-5146.539999999994
80,Options,2529.85,2684.53,16,115543.91,20886.88,94657.03
81,Options,2935.63,1275.39,28,198220.37,28176.23,170044.13999999998
82,Options,4672.63,2727.23,25,198117.71,81846.25,116271.45999999999
83,Stocks,1755.5,2469.49,4,64124.72,74596.73,-10472.009999999995
84,Options,3812.38,839.51,7,100954.41,43555.37,57399.04
85,Stocks,1653.82,3575.44,24,175813.02,39458.88,136354.13999999998
86,Stocks,4855.64,1973.7,21,106285.49,43704.57,62580.920000000006
87,Options,2057.4,2316.3,9,165422.81,86620.53,78802.28
88,Stocks,3716.34,2656.2,6,195360.73,75436.8,119923.93000000001
89,Options,4637.44,4570.29,11,193951.71,21271.91,172679.8
90,Options,1989.19,3400.15,23,86603.88,52088.43,34515.450000000004
91,Options,3942.35,4515.16,11,77287.96,79308.49,-2020.5299999999988
92,Stocks,1515.04,1768.88,23,147488.58,61186.74,86301.84
93,Stocks,3029.92,710.1,0,195420.84,40271.18,155149.66
94,Options,4559.84,4139.95,23,83587.87,83731.22,-143.35000000000582
95,Stocks,1887.49,2943.4,21,96922.1,91719.58,5202.520000000004
96,Stocks,3384.85,2164.28,1,174280.04,65706.19,108573.85
97,Options,3922.62,2066.7,18,136238.54,76594.5,59644.04000000001
98,Options,2612.67,2559.84,23,185725.18,96861.74,88863.43999999999
99,Stocks,2837.46,2478.97,16,187367.25,49101.7,138265.55
100,Options,3339.93,2593.66,14,76121.2,26281.97,49839.229999999996
101,Stocks,4788.75,4525.86,12,122865.0,81381.42,41483.58
102,Stocks,1780.46,4442.91,27,136426.42,86811.92,49614.500000000015
103,Options,1122.58,3691.29,21,52802.91,37103.85,15699.060000000005
104,Options,4142.06,4495.19,29,175230.91,58439.49,116791.42000000001
105,Stocks,2285.04,1433.68,0,147849.27,80619.84,67229.43
106,Options,1316.79,3552.76,24,70165.72,93138.01,-22972.289999999994
107,Options,1353.96,3484.24,30,82754.42,40177.61,42576.81
108,Stocks,3350.8,654.19,0,192668.55,22034.43,170634.12
109,Options,4886.74,4521.01,10,56619.62,90628.43,-34008.80999999999
110,Options,2118.51,856.33,10,89173.81,87837.17,1336.6399999999994
111,Options,3061.8,4632.9,17,134145.76,94699.71,39446.05
112,Stocks,3520.09,1084.99,5,87908.68,29645.87,58262.81
113,Stocks,4452.06,3237.29,18,118120.81,96503.86,21616.949999999997
114,Stocks,3751.63,4679.02,22,139148.98,96007.3,43141.68000000001
115,Stocks,3596.55,3733.65,12,80929.95,51889.14,29040.809999999998
116,Options,1022.18,3004.24,26,95178.5,73160.78,22017.72
117,Options,2903.98,950.65,24,196738.31,35643.99,161094.32
118,Options,1825.23,540.41,5,153966.06,33827.8,120138.26
119,Stocks,1830.74,3104.43,15,184582.73,91352.69,93230.04000000001
120,Options,4387.23,4447.81,6,119098.69,72084.9,47013.79000000001
121,Options,1550.76,872.3,24,135790.87,87994.55,47796.31999999999
122,Stocks,1671.46,4135.93,26,185789.16,94420.58,91368.58
123,Stocks,2283.55,2430.82,3,155117.55,78328.19,76789.35999999999
124,Stocks,4791.25,4548.79,12,157799.03,69469.07,88329.95999999999
125,Options,3495.96,531.46,21,77410.49,55682.02,21728.47000000001
126,Stocks,4096.61,1413.75,18,112470.17,71509.56,40960.61
127,Stocks,1846.53,1798.13,12,142829.88,78434.23,64395.65000000001
128,Options,4182.72,2217.47,27,66982.39,68575.54,-1593.1499999999942
129,Options,3576.15,4009.66,26,174529.8,25997.74,148532.06
130,Options,3364.0,1572.67,13,97265.67,43694.55,53571.119999999995
131,Options,4765.58,4038.22,21,78439.64,23598.7,54840.94
132,Options,3670.91,3608.42,13,136746.24,61738.41,75007.82999999999
133,Options,1002.4,2995.95,25,141948.15,24061.58,117886.56999999999
134,Options,2529.65,3336.04,22,69691.32,35150.33,34540.990000000005
135,Options,2030.89,2778.03,11,143543.95,44835.12,98708.83000000002
136,Options,3143.82,910.17,26,195558.95,35244.47,160314.48
137,Stocks,3483.32,3547.83,17,195195.25,73906.65,121288.6
138,Stocks,3802.32,4083.53,18,143741.18,84339.83,59401.34999999999
139,Options,4779.52,4777.56,20,198807.05,81560.8,117246.24999999999
140,Options,1321.37,813.24,2,114205.82,49825.97,64379.850000000006
141,Options,4773.33,2114.69,15,103732.35,66844.53,36887.82000000001
142,Options,4198.57,4988.72,22,63690.67,41432.23,22258.439999999995
143,Options,3306.05,524.59,25,102963.85,78526.59,24437.26000000001
144,Options,4552.34,3742.63,5,157271.57,23395.83,133875.74
145,Options,2304.12,3161.14,12,161853.43,35067.1,126786.32999999999
146,Stocks,3883.18,3977.61,14,181562.38,47854.97,133707.41
147,Stocks,2257.8,3017.56,15,134635.84,86790.36,47845.479999999996
148,Stocks,1794.38,986.89,6,70769.25,32393.52,38375.729999999996
149,Options,3429.44,2171.34,28,177495.91,70657.99,106837.92
150,Stocks,2864.55,2490.04,18,117401.38,72030.77,45370.61
151,Stocks,2644.67,1690.81,9,143798.61,72688.06,71110.54999999999
152,Options,2078.15,1280.55,1,178516.24,51227.61,127288.62999999999
153,Options,2597.7,2840.3,24,77506.6,61899.22,15607.380000000005
154,Stocks,2861.15,2909.4,4,133294.48,92397.69,40896.79000000001
155,Options,2023.07,3206.76,18,91515.57,31227.3,60288.270000000004
156,Options,4938.6,2584.33,4,194448.99,91174.94,103274.04999999999
157,Stocks,3108.69,2390.05,19,132543.14,25428.98,107114.16000000002
158,Stocks,2138.38,759.14,29,151715.12,21933.8,129781.31999999999
159,Options,2381.93,2679.4,6,133138.47,61532.32,71606.15
160,Stocks,2564.94,2334.51,29,135409.25,68955.73,66453.52
161,Options,3194.15,1327.92,10,178132.71,64148.04,113984.66999999998
162,Stocks,4198.25,4769.79,16,69183.85,91211.96,-22028.11
163,Options,4479.84,3370.77,22,152779.98,90223.02,62556.96000000001
164,Stocks,3172.9,2329.96,26,111325.52,39011.23,72314.29000000001
165,Stocks,4614.83,4597.8,21,50274.75,87199.97,-36925.22
166,Stocks,2971.01,1010.17,11,160317.04,90424.66,69892.38
167,Stocks,2612.51,1316.9,20,173323.89,74026.04,99297.85000000002
168,Options,3512.3,3715.68,19,198192.56,84839.25,113353.31
